code,exchange,name,source,updated_at
601123,SH,N马矿,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301697,SZ,N贝特利,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300189,SZ,神农种业,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300413,SZ,芒果超媒,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300927,SZ,江天化学,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300792,SZ,壹网壹创,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300642,SZ,透景生命,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300911,SZ,亿田智能,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300399,SZ,天利科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688696,SH,极米科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300550,SZ,和仁科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002514,SZ,*ST宝馨,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002425,SZ,凯撒文化,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600828,SH,茂业商业,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000610,SZ,*ST西旅,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002291,SZ,遥望科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600540,SH,新赛股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000635,SZ,英 力 特,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600551,SH,时代出版,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002295,SZ,精艺股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
605300,SH,佳禾食品,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601566,SH,九牧王,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000998,SZ,隆平高科,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002104,SZ,恒宝股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002721,SZ,金一文化,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
