trade_date,up_count,down_count,flat_count,total_count,total_amount_trillion,total_market_cap_trillion,broad_turnover_pct,source,market_cap_source,snapshot_kind
20260424,1851,2858,96,4805,2.4248215565427613,129.53115713706302,1.871998683665694,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260427,2945,1762,96,4803,2.3840471096818976,129.959880557317,1.834448523235174,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260428,1535,3165,96,4796,2.329144193606389,129.39289730914902,1.8000556769677507,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260429,3447,1250,76,4773,2.36516380159772,130.727767753874,1.809228324047192,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260430,2452,2215,106,4773,2.4959128128589487,131.032125152157,1.9048098395417512,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260506,3371,1329,99,4799,2.939136549249551,132.936625966638,2.210930605375198,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260507,3010,1666,125,4801,2.8746089874425893,133.845135927396,2.1477127035844727,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260508,3133,1550,116,4799,2.787483893638836,133.884093066249,2.082012754315424,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260511,2798,1884,117,4799,3.240135141559069,135.645609362655,2.388676756131792,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260512,1172,3575,51,4798,2.967777457902831,135.120568585963,2.196392073361316,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260513,2810,1860,132,4802,2.9743753003337816,136.372952495318,2.18105954729982,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260514,935,3814,53,4802,3.0836119370842843,134.07846603126902,2.2998562173027413,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260515,1548,3172,83,4803,3.0776939421238385,132.96168404762,2.3147224436639715,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260518,2142,2551,113,4806,2.676183885233521,133.008606232852,2.0120381387565627,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260519,3103,1593,106,4802,2.65778068748009,133.986782879348,1.983614077720905,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260520,1470,3286,49,4805,2.71633364407235,133.793994982927,2.030235844604963,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260521,613,4164,31,4808,3.211003238261719,130.95348576814098,2.452018149365604,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260522,3462,1247,101,4810,2.6866029651773924,132.762566374649,2.023614817444806,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260525,1945,2774,91,4810,2.9568507889909785,134.114229869078,2.204725622238184,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260526,1200,3552,59,4811,2.9969542576717023,133.720306196629,2.241211034369628,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260527,850,3923,38,4811,2.9842975689902778,132.050012997884,2.259975217903309,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260528,2521,2176,114,4811,2.7365681087156566,132.638288683731,2.063181103942662,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260529,1292,3454,64,4810,3.064306320612102,131.077990198728,2.337773348497556,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260601,3275,1492,45,4812,2.6549490106515385,130.384266295184,2.0362495307837647,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260602,1252,3487,72,4811,2.58255570090594,131.175732222174,1.9687755175109924,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260603,1495,3256,63,4814,2.88514505120355,131.60324607033002,2.19230538558426,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260604,1188,3579,47,4814,2.551820029430471,130.914034490411,1.9492333571137344,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260605,2737,1962,117,4816,2.850896090268672,129.591651349609,2.1999072166906783,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260608,613,4184,20,4817,2.59117452123514,126.889428805108,2.0420728075109995,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260609,2973,1718,126,4817,2.44660812909138,128.93196976009,1.8975961769946603,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260610,1372,3376,66,4814,2.4235258180799306,127.669382677353,1.898282710589024,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260611,1227,3516,69,4812,2.3612930139252613,127.245434430063,1.8556995970044663,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260612,3416,1327,70,4813,2.968096681132269,128.44241606838702,2.310838406801656,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260615,3385,1312,112,4809,2.804697950142639,131.069440693669,2.13985650301025,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260616,2418,2301,94,4813,2.843421683795912,131.318664777957,2.165283730689596,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260617,1465,3303,41,4809,2.8690625696608585,132.01950589644,2.1732111101153766,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260618,1778,2957,72,4807,3.0522844572955807,131.838934121759,2.3151616611801966,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260622,2491,2203,118,4812,3.445498780644867,134.119062558029,2.568985135244373,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260623,2353,2372,86,4811,3.1868443760610825,131.98565560528698,2.414538429533267,东方财富历史日线统计涨跌家数,Choice：A股总市值（亿元换算为万亿元）,日度滚动窗口
20260624,1268,3503,39,4810,3.887602,132.517616437486,2.933649204167464,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260625,1101,3660,48,4809,4.181816,132.91617217528798,3.146205560663513,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260626,678,4093,40,4811,4.101345,129.782170928593,3.1601759861580585,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260629,2197,2515,95,4807,4.157432,130.697430786562,3.1809592391983403,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260630,2690,2039,76,4805,3.791293,132.015451168521,2.871855503610953,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260701,3750,1022,36,4808,4.224801,132.54409455768402,3.1874683018497976,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260702,1953,2745,114,4812,4.06295,129.87561115533398,3.128339465629636,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260703,3273,1465,73,4811,3.732716,130.47522592050902,2.8608618790774325,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260706,1672,3053,87,4812,3.71763,129.870463164409,2.8625677536035896,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260707,589,4207,16,4812,3.131462,128.155150472828,2.443492897824614,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260708,1417,3276,119,4812,3.21271,126.988807987311,2.529915864964274,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260709,2188,2501,123,4812,3.532481,129.42748629235498,2.729312838557892,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260710,3256,1491,65,4812,3.962162,128.066526258639,3.093831085882776,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260713,714,4065,36,4815,3.458103,124.836615445538,2.770103136534212,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260714,3628,1127,60,4815,3.330688,126.825052626703,2.626206676849211,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260715,2962,1788,66,4816,3.148248,126.212811480391,2.4943965379371384,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260716,2194,2476,145,4815,2.97415,124.12044925578,2.39618049872753,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260717,370,4416,27,4813,3.28078,119.524338925126,2.7448635395132275,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260720,1577,3171,67,4815,3.349008,119.89006413206,2.793399122975727,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260721,2657,2060,99,4816,3.62363,122.744797250154,2.952165860533411,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260722,1295,3412,109,4816,3.300455,122.334771544747,2.697887900818759,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260723,3711,1052,53,4816,2.770165,122.831634597295,2.255253713004813,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260724,498,4291,26,4815,2.480541,120.51638949699,2.0582602999917734,东方财富历史日线统计涨跌家数；Choice：上证市场成交额 + 深证市场成交额（百万元换算为万亿元）,Choice：A股总市值（亿元换算为万亿元）,Excel历史（月度窗口）
20260727,4521,255,36,4812,1.349003706048,105.9003089298592,1.2738430318852836,东方财富历史日线统计涨跌家数；新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,盘中快照
20260728,2993,1707,113,4813,0.6995222246841502,111.18995860083064,0.6291235588956541,东方财富历史日线统计涨跌家数,上交所、深交所市场总貌 / AKShare,日度滚动窗口
20260729,3973,1171,48,5192,1.7614263573893,124.254519721325,1.4175954012294958,东方财富沪深京A股实时行情 / AKShare,东方财富沪深京A股实时行情 / AKShare,盘中快照
20260731,4394,694,113,5201,2.540414154605,109.76645024823648,2.3143812602665585,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260804,3405,1663,134,5202,2.212636262968,110.89200501522689,1.995307292589919,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260805,3427,1597,178,5202,2.658691708768,44.480497804460654,5.977207630309788,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260806,2638,2415,150,5203,2.527871480798,44.49891822320132,5.680748165873371,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260807,2671,2397,136,5204,2.663225513475,44.498918223201315,5.9849219257793544,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
