trade_date,symbol,name,period,period_label,close,ma20,ma30,dev20_pct,dev30_pct,source
20200103,000001.SH,上证综指,week,周K,3083.786,,,,,公开指数日线计算（周K最后实际交易日）
20200110,000001.SH,上证综指,week,周K,3092.291,,,,,公开指数日线计算（周K最后实际交易日）
20200117,000001.SH,上证综指,week,周K,3075.496,,,,,公开指数日线计算（周K最后实际交易日）
20200123,000001.SH,上证综指,week,周K,2976.528,,,,,公开指数日线计算（周K最后实际交易日）
20200123,000001.SH,上证综指,month,月K,2976.528,,,,,公开指数日线计算（月K最后实际交易日）
20200207,000001.SH,上证综指,week,周K,2875.964,,,,,公开指数日线计算（周K最后实际交易日）
20200214,000001.SH,上证综指,week,周K,2917.008,,,,,公开指数日线计算（周K最后实际交易日）
20200221,000001.SH,上证综指,week,周K,3039.669,,,,,公开指数日线计算（周K最后实际交易日）
20200228,000001.SH,上证综指,week,周K,2880.304,,,,,公开指数日线计算（周K最后实际交易日）
20200228,000001.SH,上证综指,month,月K,2880.304,,,,,公开指数日线计算（月K最后实际交易日）
20200306,000001.SH,上证综指,week,周K,3034.511,,,,,公开指数日线计算（周K最后实际交易日）
20200313,000001.SH,上证综指,week,周K,2887.427,,,,,公开指数日线计算（周K最后实际交易日）
20200320,000001.SH,上证综指,week,周K,2745.618,,,,,公开指数日线计算（周K最后实际交易日）
20200327,000001.SH,上证综指,week,周K,2772.203,,,,,公开指数日线计算（周K最后实际交易日）
20200331,000001.SH,上证综指,month,月K,2750.296,,,,,公开指数日线计算（月K最后实际交易日）
20200403,000001.SH,上证综指,week,周K,2763.987,,,,,公开指数日线计算（周K最后实际交易日）
20200410,000001.SH,上证综指,week,周K,2796.631,,,,,公开指数日线计算（周K最后实际交易日）
20200417,000001.SH,上证综指,week,周K,2838.495,,,,,公开指数日线计算（周K最后实际交易日）
20200424,000001.SH,上证综指,week,周K,2808.529,,,,,公开指数日线计算（周K最后实际交易日）
20200430,000001.SH,上证综指,week,周K,2860.082,,,,,公开指数日线计算（周K最后实际交易日）
20200430,000001.SH,上证综指,month,月K,2860.082,,,,,公开指数日线计算（月K最后实际交易日）
20200508,000001.SH,上证综指,week,周K,2895.344,,,,,公开指数日线计算（周K最后实际交易日）
