founded_date,fund_code,fund_name,fund_type,fund_company,raised_shares_100m,estimated_raised_amount_100m,source,method_note
20260515,027452,鑫元国证石油天然气指数发起式A,指数型-股票,鑫元基金,0.1,0.1,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260515,027453,鑫元国证石油天然气指数发起式C,指数型-股票,鑫元基金,0.1,0.1,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260518,027377,鹏扬周期优选混合发起式A,混合型-偏股,鹏扬基金,0.43,0.43,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260518,027378,鹏扬周期优选混合发起式C,混合型-偏股,鹏扬基金,0.43,0.43,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260518,027459,湘财久恒30天滚动持有债券A,债券型-长债,湘财基金,3.0,3.0,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260518,027460,湘财久恒30天滚动持有债券C,债券型-长债,湘财基金,3.0,3.0,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260519,026664,建信国证新能源车电池ETF发起式联接A,指数型-股票,建信基金,7.04,7.04,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260519,026665,建信国证新能源车电池ETF发起式联接C,指数型-股票,建信基金,7.04,7.04,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260519,026766,鹏华上证科创板50成份ETF发起式联接A,指数型-股票,鹏华基金,0.17,0.17,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260519,026767,鹏华上证科创板50成份ETF发起式联接C,指数型-股票,鹏华基金,0.17,0.17,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260519,026974,兴业中证电池主题指数A,指数型-股票,兴业基金,9.03,9.03,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260519,026975,兴业中证电池主题指数C,指数型-股票,兴业基金,9.03,9.03,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
20260519,027229,万家价值回报混合发起式A,混合型-偏股,万家基金,0.98,0.98,天天基金新成立基金 / AKShare,募集份额单位为亿份；按常见初始面值1元/份近似估算募集规模，非存续期每日净申购额
