trade_date,margin_balance_trillion,total_market_cap_trillion,margin_to_market_cap_pct,source,note
20260424,2.712786066717,129.53115713706302,2.094311613264192,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260427,2.728530208429,129.959880557317,2.099517325445386,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260428,2.728436698193,129.39289730914902,2.108644875362938,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260429,2.732302217011,130.727767753874,2.090070276542323,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260430,2.715208487233,131.032125152157,2.0721700759108104,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260506,2.756712595521,132.936625966638,2.07370435008094,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260507,2.786436392025,133.845135927396,2.081836125547735,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260508,2.802501273707,133.884093066249,2.093229456557065,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260511,2.833857790591,135.645609362655,2.08916293266415,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260512,2.850744314103,135.120568585963,2.109778210627771,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260513,2.873945270713,136.372952495318,2.1074158901206377,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260514,2.882755007011,134.07846603126902,2.150050707127497,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260515,2.876460427504,132.96168404762,2.1633754476769416,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260518,2.892379831046,133.008606232852,2.174580963567459,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260519,2.897938493443,133.986782879348,2.1628540003475765,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260520,2.904939465937,133.793994982927,2.1712031741840803,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260521,2.896210904143,130.95348576814098,2.211633304111409,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260522,2.899151925961,132.762566374649,2.1837118738573835,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260525,2.92520877945,134.114229869078,2.1811322946905647,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260526,2.932629362443,133.720306196629,2.19310697518948,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260527,2.93666666971,132.050012997884,2.223904869859466,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260528,2.942402697453,132.638288683731,2.2183659987268114,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260529,2.912418160134,131.077990198728,2.2218971741315747,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260601,2.904302483979,130.384266295184,2.2274945946344418,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260602,2.905595251708,131.175732222174,2.215040238377901,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260603,2.914375514366,131.60324607033002,2.214516435870077,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260604,2.920686113684,130.914034490411,2.230995420050193,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260605,2.906688099505,129.591651349609,2.242959379893549,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260608,2.882895221196,126.889428805108,2.271974307350612,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260609,2.887275686085,128.93196976009,2.239379179157423,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260610,2.879114601496,127.669382677353,2.2551331737634537,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260611,2.873626097853,127.245434430063,2.258333362390625,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260612,2.873482273963,128.44241606838702,2.237175507842411,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
20260615,2.897938436116,131.069440693669,2.210994737430033,东方财富融资融券历史合计,两融余额/市场总市值 = 两融余额 ÷ A股总市值；两融来自东方财富历史合计，总市值优先沿用Choice或日度快照。
