trade_date,dr001_pct,dr007_pct,shibor_on_pct,source
20061008,,,2.1184,中国货币网 / AKShare
20061009,,,2.099,中国货币网 / AKShare
20061010,,,2.0922,中国货币网 / AKShare
20061011,,,2.0955,中国货币网 / AKShare
20061012,,,2.0943,中国货币网 / AKShare
20061013,,,2.0889,中国货币网 / AKShare
20061016,,,2.0801,中国货币网 / AKShare
20061017,,,2.0746,中国货币网 / AKShare
20061018,,,2.0723,中国货币网 / AKShare
20061019,,,2.0667,中国货币网 / AKShare
20061020,,,2.0665,中国货币网 / AKShare
20061023,,,2.0573,中国货币网 / AKShare
20061024,,,2.0569,中国货币网 / AKShare
20061025,,,2.0592,中国货币网 / AKShare
20061026,,,2.117,中国货币网 / AKShare
20061027,,,2.1568,中国货币网 / AKShare
20061030,,,2.16,中国货币网 / AKShare
20061031,,,2.1885,中国货币网 / AKShare
20061101,,,2.2023,中国货币网 / AKShare
20061102,,,2.2057,中国货币网 / AKShare
20061103,,,2.2055,中国货币网 / AKShare
20061106,,,2.2312,中国货币网 / AKShare
20061107,,,2.3023,中国货币网 / AKShare
20061108,,,2.4264,中国货币网 / AKShare
20061109,,,2.5177,中国货币网 / AKShare
20061110,,,2.6198,中国货币网 / AKShare
20061113,,,2.8071,中国货币网 / AKShare
20061114,,,3.6074,中国货币网 / AKShare
20061115,,,3.5355,中国货币网 / AKShare
20061116,,,3.2292,中国货币网 / AKShare
20061117,,,3.1918,中国货币网 / AKShare
20061120,,,3.2645,中国货币网 / AKShare
20061121,,,3.4289,中国货币网 / AKShare
20061122,,,3.5158,中国货币网 / AKShare
20061123,,,3.5399,中国货币网 / AKShare
20061124,,,3.5101,中国货币网 / AKShare
20061127,,,3.205,中国货币网 / AKShare
20061128,,,2.7744,中国货币网 / AKShare
20061129,,,2.5547,中国货币网 / AKShare
20061130,,,2.4161,中国货币网 / AKShare
20061201,,,2.337,中国货币网 / AKShare
20061204,,,2.1803,中国货币网 / AKShare
20061205,,,2.1095,中国货币网 / AKShare
20061206,,,2.064,中国货币网 / AKShare
20061207,,,2.0063,中国货币网 / AKShare
20061208,,,1.9919,中国货币网 / AKShare
20061211,,,1.9914,中国货币网 / AKShare
20061212,,,1.9181,中国货币网 / AKShare
20061213,,,1.8931,中国货币网 / AKShare
20061214,,,1.8589,中国货币网 / AKShare
20061215,,,1.7777,中国货币网 / AKShare
20061218,,,1.7247,中国货币网 / AKShare
20061219,,,1.6566,中国货币网 / AKShare
20061220,,,1.613,中国货币网 / AKShare
20061221,,,1.6015,中国货币网 / AKShare
20061222,,,1.6311,中国货币网 / AKShare
20061225,,,1.6123,中国货币网 / AKShare
20061226,,,1.6431,中国货币网 / AKShare
20061227,,,1.7185,中国货币网 / AKShare
20061228,,,1.7107,中国货币网 / AKShare
20061229,,,1.7203,中国货币网 / AKShare
20061230,,,1.5651,中国货币网 / AKShare
20061231,,,1.5675,中国货币网 / AKShare
20070104,,,1.431,中国货币网 / AKShare
20070105,,,1.4047,中国货币网 / AKShare
20070108,,,1.3721,中国货币网 / AKShare
20070109,,,1.3546,中国货币网 / AKShare
20070110,,,1.3519,中国货币网 / AKShare
20070111,,,1.3344,中国货币网 / AKShare
