month,cpi_mom_pct,cpi_yoy_pct,m1_m2_gap_pp,m1_m2_mechanical_sum_trillion,m1_trillion,m1_yoy_pct,m2_trillion,m2_yoy_pct,pmi_manufacturing,pmi_non_manufacturing,sf_12m_trillion,sf_12m_yoy_pct,sf_increment_trillion,sf_increment_yoy_pct,sf_stock_trillion,sf_stock_yoy_pct,source,updated_at
200801,1.2,7.0781,1.6600000000000001,57.271876,15.487259,20.54,41.784617,18.88,53.0,60.2,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200802,2.6,8.7443,1.5599999999999987,57.12157200000001,15.017788000000001,18.95,42.103784000000005,17.39,53.4,59.3,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200803,-0.7,8.3097,1.7799999999999976,57.3922,15.086747,17.97,42.305453,16.19,58.4,58.9,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200804,0.1038,8.4829,2.1099999999999994,58.100863,15.169491,19.05,42.931371999999996,16.94,59.2,58.4,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200805,-0.4,7.7163,-0.14000000000000057,58.956635,15.334475,17.93,43.62216,18.07,53.3,57.4,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200806,-0.2,7.0844,-3.1800000000000015,59.796116999999995,15.482014999999999,14.19,44.314102,17.37,52.0,57.4,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200807,0.1,6.302,-2.3900000000000006,60.13546099999999,15.499244000000001,13.96,44.636216999999995,16.35,48.4,55.7,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200808,-0.1,4.9001,-4.52,60.57366,15.688992,11.48,44.884668,16.0,48.4,52.9,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200809,0.0,4.6425,-5.859999999999999,60.864768000000005,15.574897,9.43,45.289871000000005,15.29,51.2,55.0,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200901,0.9445,0.95,-12.11,66.13496491,16.52143413,6.68,49.61353078,18.79,45.3,53.7,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200902,0.0232,-1.5582,-9.610000000000001,67.28576712,16.61496012,10.87,50.670807,20.48,49.0,55.1,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200903,-0.3467,-1.1714,-8.470000000000002,70.71678431000001,17.654113130000002,17.04,53.06267118,25.51,52.4,54.4,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200904,-0.2319,-1.5,-8.469999999999999,71.8694782,17.821356830000003,17.48,54.04812137,25.95,53.5,53.5,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200905,-0.2852,-1.3713,-7.049999999999997,73.028909,18.202558,18.69,54.826351,25.74,53.1,54.9,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200906,-0.4825,-1.7,-3.6700000000000017,76.205435,19.313814999999998,24.79,56.891619999999996,28.46,53.2,55.4,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200907,0.0138,-1.8057,-2.0500000000000007,76.89921217,19.588926999999998,26.37,57.31028517,28.42,53.3,57.3,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200908,0.4784,-1.2043,-0.8100000000000023,77.70937796,20.03948261,27.72,57.66989535,28.53,54.0,57.3,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
200909,0.4492,-0.7883,0.20000000000000284,78.71134771,20.170813980000002,29.51,58.54053373,29.31,54.3,57.9,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201001,0.6219,1.53,12.98,85.519827,22.958898,38.96,62.560929,25.98,55.8,58.1,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201002,1.1708,2.6953,9.470000000000002,86.0359219,22.42869544,34.99,63.60722646,25.52,52.0,57.0,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201003,-0.6618,2.3707,7.440000000000001,87.93453975,22.93979332,29.94,64.99474642999999,22.5,55.1,57.3,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201004,0.1998,2.8136,9.77,89.04709767,23.39097597,31.25,65.6561217,21.48,55.7,57.8,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201005,-0.074,3.0613,8.899999999999999,89.98492531000001,23.64978831,29.9,66.335137,21.0,53.9,58.1,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201006,-0.5611,2.9499,6.100000000000001,91.45017214,24.05799975,24.6,67.39217239,18.5,52.1,58.8,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201007,0.358,3.3042,5.299999999999997,91.47155484999999,24.06640696,22.9,67.40514789,17.6,51.2,57.1,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201008,0.6488,3.4794,2.6999999999999993,93.18475604000001,24.43406421,21.9,68.75069183000001,19.2,51.7,58.0,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201009,0.5717,3.6056,1.8999999999999986,94.02933999999999,24.382189999999998,20.9,69.64715,19.0,53.8,57.9,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201101,1.042,4.9121,-3.5999999999999996,99.56498357,26.1765006,13.6,73.38848297,17.2,52.9,57.2,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201102,1.2352,4.9443,-1.1999999999999993,99.53313629,25.92004996,14.5,73.61308633,15.7,52.2,57.0,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201103,-0.207,5.383,-1.6000000000000014,102.43863599999999,26.625548,15.0,75.813088,16.6,53.4,59.2,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201104,0.1383,5.3442,-2.4000000000000004,102.41514763999999,26.67669145,12.9,75.73845619,15.3,52.9,58.2,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201105,0.0736,5.5146,-2.4000000000000004,103.26988406000001,26.92896255,12.7,76.34092151,15.1,52.0,58.7,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201106,0.2774,6.3553,-2.8000000000000007,105.54834199999999,27.466257000000002,13.1,78.08208499999999,15.9,50.9,56.6,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201107,0.4633,6.4508,-3.0999999999999996,104.34693000000001,27.054565000000004,11.6,77.292365,14.7,50.7,57.3,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201108,0.3081,6.1514,-2.3000000000000007,105.42460759,27.339377380000002,11.2,78.08523020999999,13.5,50.9,57.1,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201109,0.4685,6.0671,-4.1899999999999995,105.45993650999999,26.71931613,8.85,78.74062038,13.04,51.2,55.8,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201201,1.4975,4.5485,-9.3,112.590929,27.001040000000003,3.1,85.589889,12.4,50.5,55.7,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201202,-0.108,3.1613,-8.7,113.74835300000001,27.031211,4.3,86.71714200000001,13.0,51.0,57.3,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
201203,0.2033,3.5856,-9.0,117.35636099999999,27.799811,4.4,89.55655,13.4,53.1,58.0,,,,,,,人民银行/国家统计局等公开源；分项来源见status.json,2026-09-04T07:13:23
