trade_date,market_score,risk_score,suggested_position_pct,risk_level,market_phase,style_signal,source
20260424,50.5,46.8,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260427,54.0,35.8,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260428,51.2,43.4,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260429,50.0,29.2,45.0,黄色,震荡期,成长科技占优,二级市场投研框架自动评分
20260430,50.0,34.4,45.0,黄色,震荡期,成长科技占优,二级市场投研框架自动评分
20260506,50.0,22.7,45.0,黄色,震荡期,成长科技占优,二级市场投研框架自动评分
20260507,50.0,29.6,45.0,黄色,震荡期,成长科技占优,二级市场投研框架自动评分
20260508,50.0,22.1,45.0,黄色,震荡期,成长科技占优,二级市场投研框架自动评分
20260511,50.0,33.2,45.0,黄色,震荡期,成长科技占优,二级市场投研框架自动评分
20260512,50.0,47.3,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260513,59.2,39.6,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260514,57.2,49.6,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260515,57.5,50.3,31.0,红色,震荡期 / 红色预警,成长科技占优,二级市场投研框架自动评分
20260518,58.7,48.3,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260519,60.6,32.6,45.0,黄色,震荡期,成长科技占优,二级市场投研框架自动评分
20260520,56.9,53.7,31.0,红色,震荡期 / 红色预警,成长科技占优,二级市场投研框架自动评分
20260521,56.7,48.7,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260522,60.7,37.0,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260525,57.3,46.4,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260526,56.5,51.2,31.0,红色,震荡期 / 红色预警,成长科技占优,二级市场投研框架自动评分
20260527,56.6,50.8,31.0,红色,震荡期 / 红色预警,成长科技占优,二级市场投研框架自动评分
20260528,58.6,39.4,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
