trade_date,index_code,index_name,pe_ttm,pb,source
20040101,000001.SH,上证综指,,,中证指数官网 / AKShare
20040101,000016.SH,上证50,,,中证指数官网 / AKShare
20040101,000300.SH,沪深300,,,中证指数官网 / AKShare
20040101,000688.SH,科创50,,,中证指数官网 / AKShare
20040101,000905.SH,中证500,,,中证指数官网 / AKShare
20040102,000001.SH,上证综指,,,中证指数官网 / AKShare
20040102,000016.SH,上证50,,,中证指数官网 / AKShare
20040102,000300.SH,沪深300,,,中证指数官网 / AKShare
20040105,000001.SH,上证综指,,,中证指数官网 / AKShare
20040105,000016.SH,上证50,,,中证指数官网 / AKShare
20040105,000300.SH,沪深300,,,中证指数官网 / AKShare
20040106,000001.SH,上证综指,,,中证指数官网 / AKShare
20040106,000016.SH,上证50,,,中证指数官网 / AKShare
20040106,000300.SH,沪深300,,,中证指数官网 / AKShare
20040107,000001.SH,上证综指,,,中证指数官网 / AKShare
20040107,000016.SH,上证50,,,中证指数官网 / AKShare
20040107,000300.SH,沪深300,,,中证指数官网 / AKShare
20040108,000001.SH,上证综指,,,中证指数官网 / AKShare
20040108,000016.SH,上证50,,,中证指数官网 / AKShare
20040108,000300.SH,沪深300,,,中证指数官网 / AKShare
20040109,000001.SH,上证综指,,,中证指数官网 / AKShare
20040109,000016.SH,上证50,,,中证指数官网 / AKShare
20040109,000300.SH,沪深300,,,中证指数官网 / AKShare
20040112,000001.SH,上证综指,,,中证指数官网 / AKShare
20040112,000016.SH,上证50,,,中证指数官网 / AKShare
20040112,000300.SH,沪深300,,,中证指数官网 / AKShare
20040113,000001.SH,上证综指,,,中证指数官网 / AKShare
20040113,000016.SH,上证50,,,中证指数官网 / AKShare
20040113,000300.SH,沪深300,,,中证指数官网 / AKShare
20040114,000001.SH,上证综指,,,中证指数官网 / AKShare
20040114,000016.SH,上证50,,,中证指数官网 / AKShare
20040114,000300.SH,沪深300,,,中证指数官网 / AKShare
20040115,000001.SH,上证综指,,,中证指数官网 / AKShare
20040115,000016.SH,上证50,,,中证指数官网 / AKShare
20040115,000300.SH,沪深300,,,中证指数官网 / AKShare
20040116,000001.SH,上证综指,,,中证指数官网 / AKShare
20040116,000016.SH,上证50,,,中证指数官网 / AKShare
20040116,000300.SH,沪深300,,,中证指数官网 / AKShare
20040129,000001.SH,上证综指,,,中证指数官网 / AKShare
20040129,000016.SH,上证50,,,中证指数官网 / AKShare
20040129,000300.SH,沪深300,,,中证指数官网 / AKShare
20040130,000001.SH,上证综指,,,中证指数官网 / AKShare
20040130,000016.SH,上证50,,,中证指数官网 / AKShare
20040130,000300.SH,沪深300,,,中证指数官网 / AKShare
20040202,000001.SH,上证综指,,,中证指数官网 / AKShare
20040202,000016.SH,上证50,,,中证指数官网 / AKShare
20040202,000300.SH,沪深300,,,中证指数官网 / AKShare
20040203,000001.SH,上证综指,,,中证指数官网 / AKShare
